# Dataset title: Dataset Abitudini Sportive
# Numero di campioni: 1000
# Bias: 0.54
# Bilanciamento: 49.10%
# Colonna 'ore_settimanali_allenamento': 58 valori NaN
# Colonna 'frequenza_allenamento': 46 valori NaN
# Colonna 'tipo_sport_praticato': 64 occorrenze di -999
# Colonna 'soddisfazione_allenamento': 58 occorrenze di -999
# Colonna 'attrezzatura_comprata_annualmente': 59 occorrenze di -999
# Colonna 'obiettivo_allenamento_label': 59 occorrenze di ***
# Colonna 'obiettivo_allenamento': 48 occorrenze di -999
# Colonna 'frequenza_infortuni_label': 48 occorrenze di ***
# Colonna 'frequenza_infortuni': 42 occorrenze di -999
# Colonna 'alimentazione_durante_allenamento_label': 68 occorrenze di ***
# Colonna 'alimentazione_durante_allenamento': 68 occorrenze di -999
# Colonna 'tempo_riposo_settimanale_label': 36 occorrenze di ***
# Colonna 'tempo_riposo_settimanale': 36 occorrenze di -999
# Colonna 'Y': 64 occorrenze di -999
ore_settimanali_allenamento,frequenza_allenamento,tipo_sport_praticato,soddisfazione_allenamento,attrezzatura_comprata_annualmente,obiettivo_allenamento_label,obiettivo_allenamento,frequenza_infortuni_label,frequenza_infortuni,alimentazione_durante_allenamento_label,alimentazione_durante_allenamento,tempo_riposo_settimanale_label,tempo_riposo_settimanale,Y
8.18,4.2,3,4,2,Allenamento cardiovascolare,2,Spesso,2,Altro,3,Media,1,0
7.53,3.75,2,2,4,Miglioramento muscolare,1,Mai,0,Proteica,1,Media,1,1
,3.84,1,2,2,Perdita peso,0,Raramente,1,Proteica,1,Alta,0,1
9.43,4.82,3,4,6,Altro,3,Sempre,3,Altro,3,Bassa,-999,-999
6.02,3.63,1,2,4,Perdita peso,0,Raramente,1,Proteica,1,Media,1,1
7.04,4.45,1,2,2,Miglioramento muscolare,1,Raramente,1,Equilibrata,0,Media,1,1
1.54,1.33,1,1,6,Perdita peso,0,Mai,0,Equilibrata,-999,***,0,1
6.85,4.11,1,2,1,Perdita peso,0,Mai,0,Proteica,1,Media,1,1
6.42,4.19,2,-999,-999,Miglioramento muscolare,1,Raramente,1,Equilibrata,0,Bassa,2,1
3.01,1.68,1,2,9,Perdita peso,0,Mai,0,Equilibrata,0,Alta,0,1
7.25,3.32,3,2,4,Allenamento cardiovascolare,2,Raramente,1,Carboidrati,2,Media,1,0
,3.86,2,1,1,Miglioramento muscolare,1,Raramente,1,Carboidrati,2,Media,1,1
8.46,4.91,4,4,2,Allenamento cardiovascolare,2,Raramente,1,Proteica,1,Media,1,0
8.2,4.47,-999,4,6,Altro,3,Sempre,3,Proteica,1,Media,1,0
